T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326206313,1522326206457,1522326206457,1522326206544
1522326206544,1522326206688,1522326206688,1522326206774
1522326206774,1522326206914,1522326206914,1522326207107
1522326207107,1522326207251,1522326207251,1522326207415
1522326207415,1522326207558,1522326207558,1522326207722
1522326207722,1522326207869,1522326207869,1522326207956
1522326207956,1522326208099,1522326208099,1522326208234
1522326208234,1522326208377,1522326208377,1522326208552
1522326208552,1522326208707,1522326208707,1522326208848
1522326208848,1522326208991,1522326208991,1522326209155
1522326209155,1522326209300,1522326209300,1522326209463
1522326209463,1522326209607,1522326209607,1522326209770
1522326209770,1522326209911,1522326209911,1522326210077
1522326210077,1522326210221,1522326210222,1522326210384
